# Id,E(Ry),Eat(Ry)
418,-148.18290828,-6.84593827999998
419,-246.70018327,-7.68509827
422,-438.69905507,-12.27983907
423,-191.35190129,-7.62339029
424,-210.67630912,-6.88750912
428,-88.02288129,-5.86312929
432,-209.84438301,-11.91473801
433,-241.11298913,-11.84770313
437,-239.05510667,-10.22518767
438,-241.43180881,-10.76629381
439,-205.42483626,-9.76615426000001
441,-158.06946947,-6.11196647
449,-220.26538399,-8.91474799
452,-284.9798019,-9.1222879
453,-289.7475895,-10.2188835
455,-324.42592718,-13.61338418
456,-215.36156205,-6.02365005000001
460,-160.19022517,-7.57790316999998
464,-239.09839506,-10.26847606
465,-360.69892877,-11.27136677
466,-405.05944572,-11.81146672
469,-239.31280862,-9.30211262
470,-167.17091837,-7.39334037
472,-284.55277288,-11.27626488
473,-192.76314622,-7.00823422000002
475,-371.49519882,-11.41845682
476,-337.97754251,-11.07203751
479,-355.00438062,-16.42123162
483,-522.75126514,-13.94841714
484,-102.22535846,-5.07673846
485,-252.35232872,-9.25933172000001
487,-189.30622413,-6.01308012999999
489,-398.70751646,-11.65421946
490,-179.84277737,-4.89477536999999
492,-272.28377311,-3.85458411000002
494,-242.99524232,-9.12254931999999
499,-189.00386753,-7.11095253000002
500,-200.50675409,-8.95816808999999
501,-264.74421236,-13.36712636
502,-169.29735586,-9.08441086000002
503,-171.87237234,-6.54568233999998
504,-114.47479753,-4.65059653
510,-353.07094645,-6.40633945000002
513,-330.68122567,-10.37712267
515,-330.67275936,-10.36865636
516,-455.66705935,-13.20668535
523,-201.15009525,-6.58159924999998
524,-254.04088956,-6.24086756
525,-222.89533033,-6.43094933
527,-76.50812334,-4.00404234
528,-239.29255674,-9.28186074000001
529,-247.12413406,-5.83365805999998
535,-143.37825487,-5.93192887000001
540,-66.78886326,-1.84661826
541,-210.21888041,-7.61085740999999
542,-213.11768985,-7.27384185
543,-292.24483895,-8.78316494999996
546,-213.50732205,-5.38808305000001
547,-239.38507494,-9.15492694
548,-306.52113137,-9.94850936999995
550,-340.16966896,-10.42580996
553,-297.03882817,-9.90596217000001
554,-186.27371008,-9.49454008000001
556,-344.68671675,-12.67189475
557,-172.03899001,-8.37076801000001
558,-245.9893171,-9.9941421
559,-166.84121762,-8.46386862
